protocol,layer,task,fold_id,sample_count,unique_molecule_count,sample_share,molecule_share
molecule,curated_full,fish_EC50,0,2043,709,0.2000391657691178,0.2002259248799774
molecule,curated_full,fish_EC50,1,2046,708,0.20033290903750123,0.19994351878000566
molecule,curated_full,fish_EC50,2,2042,708,0.19994125134632332,0.19994351878000566
molecule,curated_full,fish_EC50,3,2042,708,0.19994125134632332,0.19994351878000566
molecule,curated_full,fish_EC50,4,2040,708,0.19974542250073435,0.19994351878000566
molecule,curated_full,fish_EC10,0,1673,464,0.20014355784184712,0.1999138302455838
molecule,curated_full,fish_EC10,1,1679,463,0.20086134705108266,0.1994829814735028
molecule,curated_full,fish_EC10,2,1672,464,0.20002392630697452,0.1999138302455838
molecule,curated_full,fish_EC10,3,1668,465,0.19954540016748415,0.2003446790176648
molecule,curated_full,fish_EC10,4,1667,465,0.19942576863261155,0.2003446790176648
molecule,curated_full,aquatic_invertebrates_EC50,0,2055,748,0.1998444033842264,0.1999465383587276
molecule,curated_full,aquatic_invertebrates_EC50,1,2056,749,0.1999416512690849,0.20021384656508956
molecule,curated_full,aquatic_invertebrates_EC50,2,2059,748,0.2002333949236604,0.1999465383587276
molecule,curated_full,aquatic_invertebrates_EC50,3,2056,748,0.1999416512690849,0.1999465383587276
molecule,curated_full,aquatic_invertebrates_EC50,4,2057,748,0.2000388991539434,0.1999465383587276
molecule,curated_full,aquatic_invertebrates_EC10,0,1440,530,0.1996949105533213,0.20022667170381564
molecule,curated_full,aquatic_invertebrates_EC10,1,1443,529,0.20011094161697407,0.19984888553078958
molecule,curated_full,aquatic_invertebrates_EC10,2,1445,529,0.20038829565940924,0.19984888553078958
molecule,curated_full,aquatic_invertebrates_EC10,3,1443,529,0.20011094161697407,0.19984888553078958
molecule,curated_full,aquatic_invertebrates_EC10,4,1440,530,0.1996949105533213,0.20022667170381564
molecule,curated_full,algae_EC50,0,1005,569,0.1998409226486379,0.2001406964474147
molecule,curated_full,algae_EC50,1,1007,568,0.20023861602704315,0.19978895532887794
molecule,curated_full,algae_EC50,2,1005,569,0.1998409226486379,0.2001406964474147
molecule,curated_full,algae_EC50,3,1008,568,0.20043746271624577,0.19978895532887794
molecule,curated_full,algae_EC50,4,1004,569,0.19964207595943528,0.2001406964474147
molecule,curated_full,algae_EC10,0,907,552,0.1993844801055177,0.20029027576197386
molecule,curated_full,algae_EC10,1,910,552,0.20004396570674873,0.20029027576197386
molecule,curated_full,algae_EC10,2,912,551,0.2004836227742361,0.19992743105950653
molecule,curated_full,algae_EC10,3,909,551,0.19982413717300507,0.19992743105950653
molecule,curated_full,algae_EC10,4,911,550,0.20026379424049243,0.1995645863570392
molecule,common_intersection,fish_EC50,0,1678,622,0.1997381264135222,0.20012870012870013
molecule,common_intersection,fish_EC50,1,1684,621,0.2004523271039162,0.1998069498069498
molecule,common_intersection,fish_EC50,2,1678,622,0.1997381264135222,0.20012870012870013
molecule,common_intersection,fish_EC50,3,1677,622,0.1996190929651232,0.20012870012870013
molecule,common_intersection,fish_EC50,4,1684,621,0.2004523271039162,0.1998069498069498
molecule,common_intersection,fish_EC10,0,1332,412,0.20012019230769232,0.20029168692270297
molecule,common_intersection,fish_EC10,1,1328,411,0.19951923076923078,0.19980554205153137
molecule,common_intersection,fish_EC10,2,1330,412,0.19981971153846154,0.20029168692270297
molecule,common_intersection,fish_EC10,3,1332,411,0.20012019230769232,0.19980554205153137
molecule,common_intersection,fish_EC10,4,1334,411,0.20042067307692307,0.19980554205153137
molecule,common_intersection,aquatic_invertebrates_EC50,0,1623,636,0.20012330456226882,0.1998114985862394
molecule,common_intersection,aquatic_invertebrates_EC50,1,1622,637,0.2,0.20012566760917375
molecule,common_intersection,aquatic_invertebrates_EC50,2,1623,637,0.20012330456226882,0.20012566760917375
molecule,common_intersection,aquatic_invertebrates_EC50,3,1619,637,0.1996300863131936,0.20012566760917375
molecule,common_intersection,aquatic_invertebrates_EC50,4,1623,636,0.20012330456226882,0.1998114985862394
molecule,common_intersection,aquatic_invertebrates_EC10,0,1174,454,0.20020463847203274,0.2
molecule,common_intersection,aquatic_invertebrates_EC10,1,1170,455,0.1995225102319236,0.20044052863436124
molecule,common_intersection,aquatic_invertebrates_EC10,2,1170,454,0.1995225102319236,0.2
molecule,common_intersection,aquatic_invertebrates_EC10,3,1173,454,0.20003410641200545,0.2
molecule,common_intersection,aquatic_invertebrates_EC10,4,1177,453,0.2007162346521146,0.19955947136563876
molecule,common_intersection,algae_EC50,0,821,497,0.19965953307392997,0.1998391636509851
molecule,common_intersection,algae_EC50,1,822,498,0.19990272373540857,0.20024125452352232
molecule,common_intersection,algae_EC50,2,824,497,0.20038910505836577,0.1998391636509851
molecule,common_intersection,algae_EC50,3,821,498,0.19965953307392997,0.20024125452352232
molecule,common_intersection,algae_EC50,4,824,497,0.20038910505836577,0.1998391636509851
molecule,common_intersection,algae_EC10,0,752,483,0.2001597018898057,0.19975186104218362
molecule,common_intersection,algae_EC10,1,753,484,0.20042587170614853,0.2001654259718776
molecule,common_intersection,algae_EC10,2,749,484,0.1993611924407772,0.2001654259718776
molecule,common_intersection,algae_EC10,3,753,483,0.20042587170614853,0.19975186104218362
molecule,common_intersection,algae_EC10,4,750,484,0.19962736225712005,0.2001654259718776
scaffold,curated_full,fish_EC50,0,1967,680,0.1925976696367375,0.19203614798079638
scaffold,curated_full,fish_EC50,1,1965,681,0.19240184079114853,0.19231855408076814
